vendor_code,name,brand,series,color,backset,center_distance,bolt_count,bolt_throw,bolt_diameter,mechanism_type,key_type,key_count,cylinder_included,cylinder_size,cylinder_material,mounting_type,purpose,package_type
Замок врезной Apecs 1523_60-CR,Замок врезной Apecs 1523/60-CR,Apecs,1523/60,CR,45.0,70.0,3,20,12,cylindrical,flat key,5,included,30/30,brass,faceplate,general,box
Замок врезной Apecs 1227_60-AB,Замок врезной Apecs 1227/60-AB,Apecs,1227/60,AB,40.0,70.0,,20,,cylindrical,flat key,5,included,30/30,brass,faceplate,general,box
Замок врезной Apecs 7000-25-NI,Замок врезной Apecs 7000-25-NI,Apecs,7000,NI,25.0,92.0,,20,,cylindrical,,,not included,,,faceplate,PVC profile doors,pack
Замок врезной Apecs 1226_60-CR,Замок врезной Apecs 1226/60-CR,Apecs,1226/60,CR,40.0,70.0,,20,,cylindrical,flat key,5,included,30/30,brass,faceplate,general,box
Замок врезной Apecs 2227_60-NI_NIS,Замок врезной Apecs 2227/60-NI/NIS,Apecs,2227/60,NI,45.0,85.0,3,20,12,cylindrical,flat key,5,included,30/30,brass,faceplate,general,box
Замок врезной Apecs 1026_60-CR,Замок врезной Apecs 1026/60-CR,Apecs,1026/60,CR,40.0,61.5,3,18,12,cylindrical,flat key,5,included,30/30,brass,faceplate,general,box
Замок врезной Apecs 1527_60-NI_NIS,Замок врезной Apecs 1527/60-NI/NIS,Apecs,1527/60,NI,45.0,70.0,3,20,12,cylindrical,flat key,5,included,30/30,brass,faceplate,general,box
Замок врезной Apecs 1223_60-CR,Замок врезной Apecs 1223/60-CR,Apecs,1223/60,CR,40.0,70.0,,20,,cylindrical,flat key,5,included,30/30,brass,faceplate,general,box
Замок врезной Apecs 1223_60-AB,Замок врезной Apecs 1223/60-AB,Apecs,1223/60,AB,40.0,70.0,,20,,cylindrical,flat key,5,included,30/30,brass,faceplate,general,box
"Замок врезной Apecs T-52-CR (w_o BP, w_o DP)","Замок врезной Apecs T-52-CR (w/o BP, w/o DP)",Apecs,52,CR,60.0,85.0,3,24,16,cylindrical,,,not included,,,faceplate,general,box
Замок врезной Avers 2210_60-G,Замок врезной Avers 2210/60-G,Avers,2210/60,G,45.0,85.0,3,20,12,cylindrical,flat key,5,included,30/30,ZAMAK,faceplate,general,box
Замок врезной Apecs 1601-CR,Замок врезной Apecs 1601-CR,Apecs,1601,CR,55.0,55.0,,20,,cylindrical,,,not included,,,faceplate,general,box
Замок врезной Apecs 7600-25-R-NI,Замок врезной Apecs 7600-25-R-NI,Apecs,7600,NI,25.0,0.0,,23,,cylindrical,,,not included,,,faceplate,aluminum profile doors,pack
Замок врезной Apecs 1423-AB,Замок врезной Apecs 1423-AB,Apecs,1423,AB,55.0,58.5,,20,,cylindrical,,,not included,,,faceplate,general,box
Замок врезной Apecs 1000_60-G,Замок врезной Apecs 1000/60-G,Apecs,1000/60,G,40.0,61.5,3,18,12,cylindrical,flat key,5,included,30/30,brass,faceplate,general,box
Замок врезной Apecs 1323_60-AB,Замок врезной Apecs 1323/60-AB,Apecs,1323/60,AB,40.0,80.0,,20,,cylindrical,flat key,5,included,30/30,brass,faceplate,general,box
